REF_AREA,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,TIME_PERIOD,OBS_VALUE
AFE,Africa Eastern and Southern,"Life expectancy at birth, total (years)",Total,2023,65.14629086
AFW,Africa Western and Central,"Life expectancy at birth, total (years)",Total,2023,58.85572155
ARB,Arab World,"Life expectancy at birth, total (years)",Total,2023,72.44467836
CSS,Caribbean small states,"Life expectancy at birth, total (years)",Total,2023,73.171645
CEB,Central Electricity Board (CEB),"Life expectancy at birth, total (years)",Total,2023,77.89678365
EAR,Early-demographic dividend,"Life expectancy at birth, total (years)",Total,2023,71.79624498
EAS,East Asia & Pacific,"Life expectancy at birth, total (years)",Total,2023,76.65951833
EAP,East Asia & Pacific (excluding high income),"Life expectancy at birth, total (years)",Total,2023,75.88068309
TEA,East Asia & Pacific (IDA & IBRD),"Life expectancy at birth, total (years)",Total,2023,75.90856436
EMU,Euro area,"Life expectancy at birth, total (years)",Total,2023,82.19200762
ECS,Europe & Central Asia,"Life expectancy at birth, total (years)",Total,2023,78.38701832
ECA,Europe & Central Asia (excluding high income),"Life expectancy at birth, total (years)",Total,2023,74.79871528
TEC,Europe & Central Asia (IDA & IBRD),"Life expectancy at birth, total (years)",Total,2023,74.7300564
EUU,European Union,"Life expectancy at birth, total (years)",Total,2023,81.41145038
FCS,Fragile and conflict affected situations,"Life expectancy at birth, total (years)",Total,2023,63.37328126
HPC,Heavily indebted poor countries (HIPC),"Life expectancy at birth, total (years)",Total,2023,64.71590542
HIC,High income,"Life expectancy at birth, total (years)",Total,2023,80.15001512
IBD,IBRD only,"Life expectancy at birth, total (years)",Total,2023,74.52096995
IBT,IDA & IBRD total,"Life expectancy at birth, total (years)",Total,2023,72.00082092
IDB,IDA blend,"Life expectancy at birth, total (years)",Total,2023,62.46216433
IDX,IDA only,"Life expectancy at birth, total (years)",Total,2023,67.05383189
IDA,IDA total,"Life expectancy at birth, total (years)",Total,2023,65.45352231
LTE,Late-demographic dividend,"Life expectancy at birth, total (years)",Total,2023,77.13012054
LCN,Latin America & Caribbean,"Life expectancy at birth, total (years)",Total,2023,75.64352933
LAC,Latin America & Caribbean (excluding high income),"Life expectancy at birth, total (years)",Total,2023,75.49860133
TLA,Latin America & Caribbean (IDA & IBRD),"Life expectancy at birth, total (years)",Total,2023,75.56992584
LDC,Least developed countries: UN classification,"Life expectancy at birth, total (years)",Total,2023,66.51610026
LMY,Low & middle income,"Life expectancy at birth, total (years)",Total,2023,71.97400488
LIC,Low income,"Life expectancy at birth, total (years)",Total,2023,64.51789579
LMC,Lower middle income,"Life expectancy at birth, total (years)",Total,2023,69.59637466
MEA,Middle East and North Africa,"Life expectancy at birth, total (years)",Total,2023,72.08394124
MNA,Middle East & North Africa (excluding high income),"Life expectancy at birth, total (years)",Total,2023,71.27588499
TMN,Middle East & North Africa (IDA & IBRD),"Life expectancy at birth, total (years)",Total,2023,71.31945609
MIC,Middle income,"Life expectancy at birth, total (years)",Total,2023,72.74319387
NAC,North America,"Life expectancy at birth, total (years)",Total,2023,78.73282137
OED,OECD members,"Life expectancy at birth, total (years)",Total,2023,80.1615573
OSS,Other small states,"Life expectancy at birth, total (years)",Total,2023,73.56469451
PSS,Pacific island small states,"Life expectancy at birth, total (years)",Total,2023,69.2745949
PST,Post-demographic dividend,"Life expectancy at birth, total (years)",Total,2023,80.82283464
PRE,Pre-demographic dividend,"Life expectancy at birth, total (years)",Total,2023,62.16362989
SST,Small states,"Life expectancy at birth, total (years)",Total,2023,72.90071976
SAS,South Asia,"Life expectancy at birth, total (years)",Total,2023,72.32476488
TSA,South Asia (IDA & IBRD),"Life expectancy at birth, total (years)",Total,2023,72.32476488
SSF,Sub-Saharan Africa,"Life expectancy at birth, total (years)",Total,2023,62.60291349
SSA,Sub-Saharan Africa (excluding high income),"Life expectancy at birth, total (years)",Total,2023,62.06547988
TSS,Sub-Saharan Africa (IDA & IBRD),"Life expectancy at birth, total (years)",Total,2023,62.60291349
UMC,Upper middle income,"Life expectancy at birth, total (years)",Total,2023,76.1953051
WLD,World,"Life expectancy at birth, total (years)",Total,2023,73.32971628
AFG,Afghanistan,"Life expectancy at birth, total (years)",Total,2023,66.035
ALB,Albania,"Life expectancy at birth, total (years)",Total,2023,79.602
DZA,Algeria,"Life expectancy at birth, total (years)",Total,2023,76.261
ASM,American Samoa,"Life expectancy at birth, total (years)",Total,2023,72.852
AND,Andorra,"Life expectancy at birth, total (years)",Total,2023,84.041
AGO,Angola,"Life expectancy at birth, total (years)",Total,2023,64.617
ATG,Antigua and Barbuda,"Life expectancy at birth, total (years)",Total,2023,77.598
ARG,Argentina,"Life expectancy at birth, total (years)",Total,2023,77.395
ARM,Armenia,"Life expectancy at birth, total (years)",Total,2023,77.46585366
ABW,Aruba,"Life expectancy at birth, total (years)",Total,2023,76.353
AUS,Australia,"Life expectancy at birth, total (years)",Total,2023,83.05121951
AUT,Austria,"Life expectancy at birth, total (years)",Total,2023,81.54146341
AZE,Azerbaijan,"Life expectancy at birth, total (years)",Total,2023,74.429
BHS,"Bahamas, The","Life expectancy at birth, total (years)",Total,2023,74.552
BHR,Bahrain,"Life expectancy at birth, total (years)",Total,2023,81.284
BGD,Bangladesh,"Life expectancy at birth, total (years)",Total,2023,74.672
BRB,Barbados,"Life expectancy at birth, total (years)",Total,2023,76.178
BLR,Belarus,"Life expectancy at birth, total (years)",Total,2023,74.18378049
BEL,Belgium,"Life expectancy at birth, total (years)",Total,2023,82.39756098
BLZ,Belize,"Life expectancy at birth, total (years)",Total,2023,73.566
BEN,Benin,"Life expectancy at birth, total (years)",Total,2023,60.774
BMU,Bermuda,"Life expectancy at birth, total (years)",Total,2023,82.309
BTN,Bhutan,"Life expectancy at birth, total (years)",Total,2023,72.975
BOL,Bolivia,"Life expectancy at birth, total (years)",Total,2023,68.581
BIH,Bosnia and Herzegovina,"Life expectancy at birth, total (years)",Total,2023,77.85
BWA,Botswana,"Life expectancy at birth, total (years)",Total,2023,69.163
BRA,Brazil,"Life expectancy at birth, total (years)",Total,2023,75.848
VGB,British Virgin Islands,"Life expectancy at birth, total (years)",Total,2023,77.276
BRN,Brunei Darussalam,"Life expectancy at birth, total (years)",Total,2023,75.327
BGR,Bulgaria,"Life expectancy at birth, total (years)",Total,2023,75.70731707
BFA,Burkina Faso,"Life expectancy at birth, total (years)",Total,2023,61.092
BDI,Burundi,"Life expectancy at birth, total (years)",Total,2023,63.651
CPV,Cabo Verde,"Life expectancy at birth, total (years)",Total,2023,76.059
KHM,Cambodia,"Life expectancy at birth, total (years)",Total,2023,70.668
CMR,Cameroon,"Life expectancy at birth, total (years)",Total,2023,63.7
CAN,Canada,"Life expectancy at birth, total (years)",Total,2023,81.64658537
CYM,Cayman Islands,"Life expectancy at birth, total (years)",Total,2023,80.358
CAF,Central African Republic,"Life expectancy at birth, total (years)",Total,2023,57.408
TCD,Chad,"Life expectancy at birth, total (years)",Total,2023,55.069
CHI,Channel Islands,"Life expectancy at birth, total (years)",Total,2023,81.1
CHL,Chile,"Life expectancy at birth, total (years)",Total,2023,81.167
CHN,China,"Life expectancy at birth, total (years)",Total,2023,77.953
COL,Colombia,"Life expectancy at birth, total (years)",Total,2023,77.725
COM,Comoros,"Life expectancy at birth, total (years)",Total,2023,66.777
COD,"Congo, Dem. Rep.","Life expectancy at birth, total (years)",Total,2023,61.895
COG,"Congo, Rep.","Life expectancy at birth, total (years)",Total,2023,65.772
CRI,Costa Rica,"Life expectancy at birth, total (years)",Total,2023,80.799
CIV,Cote d'Ivoire,"Life expectancy at birth, total (years)",Total,2023,61.944
HRV,Croatia,"Life expectancy at birth, total (years)",Total,2023,78.47317073
CUB,Cuba,"Life expectancy at birth, total (years)",Total,2023,78.085
CUW,Curacao,"Life expectancy at birth, total (years)",Total,2023,76.8
CYP,Cyprus,"Life expectancy at birth, total (years)",Total,2023,81.648
CZE,Czechia,"Life expectancy at birth, total (years)",Total,2023,79.87804878
DNK,Denmark,"Life expectancy at birth, total (years)",Total,2023,81.85365854
DJI,Djibouti,"Life expectancy at birth, total (years)",Total,2023,65.987
